,Forecast,Lower_CI,Upper_CI
2025-07-31,316.2748831859196,,
2025-08-01,318.604616024894,,
2025-08-04,319.608685291089,,
2025-08-05,317.0271802750352,,
2025-08-06,312.54232860628605,,
2025-08-07,313.13177221640905,,
2025-08-08,313.69333745141824,,
2025-08-11,315.87121072547467,,
2025-08-12,318.10067365589373,,
2025-08-13,316.48646029679065,,
2025-08-14,320.44695312507497,,
2025-08-15,321.6162807466526,,
2025-08-18,319.11445938641543,,
2025-08-19,319.9752754493591,,
2025-08-20,322.1425806671995,,
2025-08-21,323.94838734484694,,
2025-08-22,322.4880689822462,,
2025-08-25,322.20625913541596,,
2025-08-26,321.50596397647604,,
2025-08-27,320.44309813522045,,
2025-08-28,322.5734267768709,,
2025-08-29,320.02368155083815,,
2025-09-01,321.77951242891055,,
2025-09-02,323.54448311110195,,
2025-09-03,320.21952601467495,,
2025-09-04,316.2494950312296,,
2025-09-05,316.66371758584626,,
2025-09-08,317.055593486278,,
2025-09-09,319.69458155576655,,
2025-09-10,321.32681682589975,,
2025-09-11,320.27934677075024,,
2025-09-12,323.84871620568015,,
2025-09-15,325.14889259116586,,
2025-09-16,322.8010890824123,,
2025-09-17,323.2981386713546,,
2025-09-18,325.93619966688493,,
2025-09-19,327.2941192208157,,
2025-09-22,326.122694998899,,
2025-09-23,325.7467544542234,,
2025-09-24,324.94044245422026,,
2025-09-25,324.15999385967007,,
2025-09-26,325.9182197752324,,
2025-09-29,323.71826003960433,,
2025-09-30,325.23263876512635,,
2025-10-01,327.0764874779964,,
2025-10-02,323.8430520610249,,
2025-10-03,319.6481317872795,,
2025-10-06,320.35186608819305,,
2025-10-07,320.4697678552146,,
2025-10-08,323.2972786790099,,
2025-10-09,324.8687118012954,,
2025-10-10,323.7484835581465,,
2025-10-13,327.4948921392445,,
2025-10-14,328.56781180352493,,
2025-10-15,326.43458173918344,,
2025-10-16,326.78443523203003,,
2025-10-17,329.4693482646181,,
2025-10-20,330.885110909916,,
2025-10-21,329.5743273476811,,
2025-10-22,329.37676959375113,,
